sample_id,sample_location,location_on_stream,sample_time,bed_type,functional_group,count,*notes/guesses
A1,South Platte below confluence,right bank,9:24,rocky,midge (gather/collecter),3,
A1,South Platte below confluence,right bank,9:24,rocky,stonefly (shredder),2,
A1,South Platte below confluence,right bank,9:24,rocky,stonefly (predator),5,
A1,South Platte below confluence,right bank,9:24,rocky,mayfly (scraper),5,
A1,South Platte below confluence,right bank,9:24,rocky,mayfly (gather/collecter),1,
A1,South Platte below confluence,right bank,9:24,rocky,mayfly (unknown),1,
A1,South Platte below confluence,right bank,9:24,rocky,stonefly (unknown),1,
A1,South Platte below confluence,right bank,9:24,rocky,unknown #1,1,
A1,South Platte below confluence,right bank,9:24,rocky,unknown #2,1,
A1,South Platte below confluence,right bank,9:24,rocky,unknown #3,1,
A2,South Platte below confluence,center,10:26,rocky,wigglebutts,37,*going to ask Lane
A2,South Platte below confluence,center,10:26,rocky,stonefly (shredder),9,
A2,South Platte below confluence,center,10:26,rocky,stonefly (predator),6,
A2,South Platte below confluence,center,10:26,rocky,mayfly (gather/collecter),31,
A2,South Platte below confluence,center,10:26,rocky,mayfly (scraper),10,
A2,South Platte below confluence,center,10:26,rocky,shrimpy,1,Some type of amphipod?
B1,South Platte above confluence,right bank,12:09,silty loam,stonefly (shredder),3,
B1,South Platte above confluence,right bank,12:09,silty loam,red worm,5,
B1,South Platte above confluence,right bank,12:09,silty loam,mayfly (scraper),15,
B1,South Platte above confluence,right bank,12:09,silty loam,worm 1,2,
B1,South Platte above confluence,right bank,12:09,silty loam,worm 2,1,
B2,South Platte above confluence,center,1:10,silty loam,mayfly (scraper),15,
B2,South Platte above confluence,center,1:10,silty loam,mayfly (gather/collecter),1,
B2,South Platte above confluence,center,1:10,silty loam,stonefly (shredder),6,
B2,South Platte above confluence,center,1:10,silty loam,worm 3,1,
B2,South Platte above confluence,center,1:10,silty loam,worm 4,2,
B2,South Platte above confluence,center,1:10,silty loam,worm 5,3,
B2,South Platte above confluence,center,1:10,silty loam,red worm,5,
C1,Cherry Creek,left bank,1:50,silty loam,mayfly (gather/collecter),45,
C1,Cherry Creek,left bank,1:50,silty loam,stonefly,4,
C1,Cherry Creek,left bank,1:50,silty loam,mayfly (scrapers),3,
C1,Cherry Creek,left bank,1:50,silty loam,long red worm,1,
C1,Cherry Creek,left bank,1:50,silty loam,small grey worm,1,
C2,Cherry Creek,center,2:50,silty loam,mayfly (gather/collecter),40,
C2,Cherry Creek,center,2:50,silty loam,mayfly (scraper),9,
C2,Cherry Creek,center,2:50,silty loam,stonefly ,9,
